# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 47K of event 'cycles:u'
# Event count (approx.): 1956954042668
#
# Children      Self       Samples  Symbol                           IPC   [IPC Coverage]
# ........  ........  ............  ...............................  ....................
#
     0.00%     0.00%             0  [.] 0xe61e94763167d78e           -      -            
     0.00%     0.00%             0  [.] 0x50d227f28e0c0626           -      -            
     0.00%     0.00%             0  [.] 0x6e5d1bb595583951           -      -            
     0.00%     0.00%             0  [.] 0x069ad54b6baea31d           -      -            
     0.00%     0.00%             0  [.] 0x77ca3d23d466377b           -      -            
     0.00%     0.00%             0  [.] 0xe451842b081642f4           -      -            
     0.00%     0.00%             0  [.] 0xf65287509a65621c           -      -            
     0.00%     0.00%             0  [.] 0x287de089fb70d73e           -      -            
     0.00%     0.00%             0  [.] 0x8e34a55834017c09           -      -            
     0.00%     0.00%             0  [.] 0x26c80164536c25c1           -      -            
     0.00%     0.00%             0  [.] 0xd62c42295536a014           -      -            
     0.00%     0.00%             0  [.] 0x51f6e152f78baad1           -      -            
     0.00%     0.00%             0  [.] 0xf733d5738fad88ca           -      -            
     0.00%     0.00%             0  [.] 0x0e2e72d256b2e21b           -      -            
     0.00%     0.00%             0  [.] 0x26e70f7d2e8f74a9           -      -            
     0.00%     0.00%             0  [.] 0xdd6e501166364457           -      -            
     0.00%     0.00%             0  [.] 0x6ae9bbbc3efce49c           -      -            
     0.00%     0.00%             0  [.] 0xc239d1da068083ae           -      -            
     0.00%     0.00%             0  [.] 0xf84f2d11686b0959           -      -            
     0.00%     0.00%             0  [.] 0x065bcd6c61696736           -      -            
     0.00%     0.00%             0  [.] 0x026c3f6887ce4410           -      -            
     0.00%     0.00%             0  [.] 0x3536c43c0131a141           -      -            
     0.00%     0.00%             0  [.] 0x443b7b2deecc491a           -      -            
     0.00%     0.00%             0  [.] 0xb9833bc74bdd2113           -      -            
     0.00%     0.00%             0  [.] 0x9fd47eca3d2cfdf6           -      -            
     0.00%     0.00%             0  [.] 0xec7159801a34b6da           -      -            
     0.00%     0.00%             0  [.] 0x718fde27de4e3772           -      -            
     0.00%     0.00%             0  [.] 0x07285036895640cf           -      -            
     0.00%     0.00%             0  [.] 0x741683e666ed79df           -      -            
     0.00%     0.00%             0  [.] 0x83e9aed3d86d6ba2           -      -            
     0.00%     0.00%             0  [.] 0x4acf2d0cbc84621b           -      -            
     0.00%     0.00%             0  [.] 0xef9705460df8f786           -      -            
     0.00%     0.00%             0  [.] 0x0b1193faec79abe3           -      -            
     0.00%     0.00%             0  [.] 0x3849c4a1238bf7c0           -      -            
     0.00%     0.00%             0  [.] 0xdf9ff8c399e59537           -      -            
     0.00%     0.00%             0  [.] 0x57dd443e4a00fa47           -      -            
     0.00%     0.00%             0  [.] 0x89a974398c3b289a           -      -            
     0.00%     0.00%             0  [.] 0x838bc95d911bb819           -      -            
     0.00%     0.00%             0  [.] 0x0b194387c7df29dd           -      -            
     0.00%     0.00%             0  [.] 0x0410573270b6a680           -      -            
     0.00%     0.00%             0  [.] 0x3a9ebb7c5046b069           -      -            
     0.00%     0.00%             0  [.] 0x55cd3294e5f7a1a5           -      -            
     0.00%     0.00%             0  [.] 0x368fb02a08a01508           -      -            
     0.00%     0.00%             0  [.] 0x8d086d401ff3a520           -      -            
     0.00%     0.00%             0  [.] 0xf07ed685c4a1be83           -      -            
     0.00%     0.00%             0  [.] 0xd9056dba2941878c           -      -            
     0.00%     0.00%             0  [.] 0xf474fbf2670f1bcf           -      -            
     0.00%     0.00%             0  [.] 0x0f9820ea64d300b4           -      -            
     0.00%     0.00%             0  [.] 0x94a96fed0d628fec           -      -            
     0.00%     0.00%             0  [.] 0x50ea728abb3619c0           -      -            
     0.00%     0.00%             0  [.] 0xf52ac6fed4bbdeec           -      -            
     0.00%     0.00%             0  [.] 0xa4498b888b9a2677           -      -            
     0.00%     0.00%             0  [.] 0xce30463fa388c1b7           -      -            
     0.00%     0.00%             0  [.] 0xac75e493ff735452           -      -            
     0.00%     0.00%             0  [.] 0xfff2045fbe97c68c           -      -            
     0.00%     0.00%             0  [.] 0x671d392f84ec2851           -      -            
     0.00%     0.00%             0  [.] 0x97054eb1e7d570a7           -      -            
     0.00%     0.00%             0  [.] 0x75b84f51a769ecca           -      -            
     0.00%     0.00%             0  [.] 0xe22e369309ac3c4e           -      -            
     0.00%     0.00%             0  [.] 0x0e84ea8d352e72c4           -      -            
     0.00%     0.00%             0  [.] 0xe080d2f80ae610bb           -      -            
     0.00%     0.00%             0  [.] 0x9e5184191a798b8d           -      -            
     0.00%     0.00%             0  [.] 0x9705c7df13daf28e           -      -            
     0.00%     0.00%             0  [.] 0xb472e0c9d8b9f0db           -      -            
     0.00%     0.00%             0  [.] 0xf2228e2033233ca5           -      -            
     0.00%     0.00%             0  [.] 0xbc884163729a77ac           -      -            
